budget,revenue,runtime,has_budget,director_missing,release_year,is_weekend,month_sin,month_cos,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_news,genre_romance,genre_science_fiction,genre_sport,genre_tv_movie,genre_thriller,genre_war,genre_western,director_encoded
45351644.00000757,65683.0,85.0,1,0,2023,1,-0.4999999999999998,-0.8660254037844388,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.06365770986592
45351643.99985042,12.0,66.0,1,0,2023,0,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.28841577476136
10000.0,20000.0,70.0,0,0,2024,1,1.0,6.123233995736766e-17,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.955560156018144
1349188.0,1349188.0,134.0,0,0,2023,0,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.338421672188206
80000.0,38840.0,114.0,0,0,2025,1,0.8660254037844387,-0.49999999999999983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,11.015895984876378
12000000.0,3657723.0,120.0,0,0,2024,0,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.688789892845463
3000.0,300.0,15.5,0,0,2024,1,-0.5000000000000004,0.8660254037844384,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.574066766332935
115919.0,115919.0,93.0,0,0,2023,1,1.2246467991473532e-16,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,11.115298158355271
50.0,500.0,15.5,0,0,2022,0,1.2246467991473532e-16,-1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.139862650914656
708379.0,708379.0,126.0,0,0,2024,0,-0.4999999999999998,-0.8660254037844388,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.27985091970625
16.0,1.0,15.5,0,0,2025,0,-0.4999999999999998,-0.8660254037844388,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.668235823584096
45351644.000230774,335167.0,112.0,1,0,2022,1,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.211819212959325
2.0,1.0,15.5,0,0,2023,1,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.118251940497577
45351643.99963546,148557.0,40.0,1,0,2023,0,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.137850445297756
85900000.0,239268602.0,127.0,0,0,2022,1,-0.8660254037844384,-0.5000000000000004,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.809156500515803
4400000.0,945987.0,110.0,0,0,2023,0,0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.306146302534321
1250972.0,3405674.0,100.0,0,0,2026,1,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.42259798915619
20000000.0,29014500.0,107.0,0,0,2023,1,0.49999999999999994,-0.8660254037844387,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.61735731476103
1.0,2.0,15.5,0,0,2020,1,1.2246467991473532e-16,-1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.155112404871046
